,Id,release,dir,exists,mean_FD,max_relative_motion
27,M10917168,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10917168_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.216512718333,1.10406505696
28,M10922512,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10922512_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.10250608,0.328186425679
29,M10985781,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10985781_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.14795578,0.645127065003
30,M10973085,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10973085_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0593404683333,0.197917078596
31,M10958411,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10958411_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0800288908333,0.250012499688
32,M10968357,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10968357_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.11703813,0.395837403488
33,M10912249,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10912249_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0888834158333,0.412622272787
34,M10923971,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10923971_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.1194894975,0.872066419489
35,M10919866,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10919866_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0974119908333,0.358822128638
36,M10915454,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10915454_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.10347609,0.399843194265
