,Unnamed: 0,label,val,x,y,z,stat,local.dist,all.dist,ps1,fs1,ps2,fs2
0,1,maxima,100,-16,0,70,3.463,31.2409987036,22.9782505862,2.9719712764,2.79429976369,1.68895288358,1.87078429223
1,2,maxima,102,-44,32,2,2.663,32.4961536185,14.9666295471,2.17176988527,2.17008946119,0.917453976332,1.36773506331
2,3,maxima,104,-24,-68,-6,3.646,25.2982212813,13.8564064606,3.87506126339,2.50599941086,0.560877924254,1.10920573932
3,4,maxima,106,-60,-4,-6,2.911,25.9229627936,12.0,2.02075522159,1.94979148301,0.413862974769,1.03262188985
4,5,maxima,108,32,24,-18,3.004,20.7846096908,20.0,2.7447274949,2.24250986756,1.32057210339,1.56974651625
5,6,maxima,110,56,8,2,3.209,21.5406592285,16.9705627485,3.39794000867,2.22875452847,1.29929628285,1.4984943639
6,7,maxima,112,-28,4,10,3.09,28.5657137142,14.9666295471,2.42790323205,1.96791984157,1.03495516893,1.3675289035
7,8,maxima,114,24,-52,-2,3.463,32.4961536185,14.4222051019,3.27300127206,2.47418392024,1.49394618268,1.5500400818
8,9,maxima,116,0,28,18,3.646,20.3960780544,18.3303027798,4.17609125906,3.58543497717,2.46852108296,2.02967616436
9,10,maxima,118,36,8,10,3.272,21.5406592285,11.313708499,2.46852108296,1.8993976944,0.0412768887352,0.69621063513
10,11,maxima,120,-4,-56,14,2.7,20.3960780544,20.3960780544,2.59630766244,1.7805837416,1.49848430634,1.63313005307
11,12,maxima,122,64,-40,10,3.403,27.1293199325,16.4924225025,3.0,2.72675688215,0.605548319174,1.15272854137
12,13,maxima,124,-24,16,-18,3.272,22.9782505862,16.4924225025,2.81436342304,2.25198354733,0.548418227289,1.11423696416
13,14,maxima,126,-36,-8,42,3.09,31.496031496,20.3960780544,2.71369326116,2.48684688548,1.79048498546,1.8436586359
14,15,maxima,128,-48,-16,14,2.687,26.2297540972,12.0,2.17609125906,1.78617914589,0.0716724384081,0.745308172566
15,16,maxima,130,52,-44,34,2.975,27.1293199325,16.4924225025,2.81436342304,2.95380903163,1.32178521725,1.66521233055
