"id","site","orig_id","run","outdir","mean_FD","mean_relative","age","sex","handedness","eyes","orig_site"
"cambridge_sub62732","Cambridge","sub62732","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub62732_/scan_func_rest",0.155966761345,0.074401923533,18,"Female",NA,NA,"cambridge"
"cambridge_sub69287","Cambridge","sub69287","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub69287_/scan_func_rest",0.124898213445,0.107551530093,18,"Female",NA,NA,"cambridge"
"cambridge_sub72068","Cambridge","sub72068","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub72068_/scan_func_rest",0.0691268773109,0.0726102825245,18,"Female",NA,NA,"cambridge"
"cambridge_sub89435","Cambridge","sub89435","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub89435_/scan_func_rest",0.0895494243697,0.112402610243,18,"Female",NA,NA,"cambridge"
"cambridge_sub05306","Cambridge","sub05306","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub05306_/scan_func_rest",0.091167710084,0.132427599619,19,"Female",NA,NA,"cambridge"
"cambridge_sub13093","Cambridge","sub13093","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub13093_/scan_func_rest",0.0581990630252,0.0978147668283,19,"Female",NA,NA,"cambridge"
"cambridge_sub35512","Cambridge","sub35512","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub35512_/scan_func_rest",0.0784400621849,0.143642164668,19,"Female",NA,NA,"cambridge"
"cambridge_sub39065","Cambridge","sub39065","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub39065_/scan_func_rest",0.0385264731092,0.0272994144235,19,"Female",NA,NA,"cambridge"
"cambridge_sub45354","Cambridge","sub45354","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub45354_/scan_func_rest",0.0983270168067,0.123440560455,19,"Female",NA,NA,"cambridge"
"cambridge_sub53107","Cambridge","sub53107","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub53107_/scan_func_rest",0.0730029327731,0.23916766702,19,"Female",NA,NA,"cambridge"
"cambridge_sub77435","Cambridge","sub77435","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub77435_/scan_func_rest",0.117237747899,0.177826740083,19,"Female",NA,NA,"cambridge"
"cambridge_sub78547","Cambridge","sub78547","Run 1","/home/data/PreProc/FCon1000/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/sub78547_/scan_func_rest",0.0705676260504,0.150972715663,19,"Female",NA,NA,"cambridge"
