"sample","site","keep"
"Discovery Sample","Berlin",TRUE
"Discovery Sample","Berlin",TRUE
"Discovery Sample","Berlin",TRUE
"Discovery Sample","Berlin",TRUE
"Discovery Sample","Berlin",TRUE
"Discovery Sample","Berlin",TRUE
"Discovery Sample","Berlin",TRUE
"Discovery Sample","Berlin",TRUE
"Discovery Sample","Berlin",TRUE
"Discovery Sample","Berlin",TRUE
"Discovery Sample","Berlin",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
"Discovery Sample","Cambridge",TRUE
