Site,TR (seconds),Reference,Acquisition
ann_arbor_a,2,20,seq+z
baltimore,2.5,24,seq+z
bangor,2,17,seq+z
beijing,2,16,alt+z
berlin,2.3,17,alt+z2
cambridge,3,24,alt+z
cleveland,2.8,15,alt+z
icbm,2,12,seq-z
leiden_2180,2.18,19,seq-z
leiden_2200,2.2,19,seq-z
leipzig,2.3,17,alt+z2
munchen,3,17,alt+z
newark,2,16,alt+z2
new_york_a,2,20,alt+z
new_york_a_adhd,2,20,alt+z
new_york_b,2,17,alt+z
orangeburg,2,11,alt+z2
queensland,2.1,18,alt+z
saint_louis,2.5,16,alt+z2
