"","iteration","subjects","effect.size","connections","method","sensitivity","specificity"
"105",1,24,0.06,10,"mdmr",0.56,0.92
"106",1,24,0.08,10,"glm",0.566,0.953473684210526
"107",1,24,0.08,10,"degree",0.04,0.94
"108",1,24,0.08,10,"mdmr",0.96,0.9
"109",1,24,0.1,10,"glm",0.762,0.952842105263158
"110",1,24,0.1,10,"degree",0.1,0.92
"111",1,24,0.1,10,"mdmr",1,0.92
"112",1,24,0.15,10,"glm",0.972,0.953684210526316
"113",1,24,0.15,10,"degree",0.36,0.94
"114",1,24,0.15,10,"mdmr",1,0.88
"115",1,24,0.2,10,"glm",1,0.953578947368421
"116",1,24,0.2,10,"degree",0.28,0.9
"117",1,24,0.2,10,"mdmr",1,0.92
"118",1,24,0.3,10,"glm",1,0.953052631578947
"119",1,24,0.3,10,"degree",0.42,0.92
"120",1,24,0.3,10,"mdmr",1,0.92
"121",1,24,0.02,14,"glm",0.0742857142857143,0.953655913978495
"122",1,24,0.02,14,"degree",0.02,0.92
"123",1,24,0.02,14,"mdmr",0.12,0.92
"124",1,24,0.04,14,"glm",0.172857142857143,0.953440860215054
"125",1,24,0.04,14,"degree",0,0.9
"126",1,24,0.04,14,"mdmr",0.28,0.94
"127",1,24,0.06,14,"glm",0.364285714285714,0.953440860215054
"128",1,24,0.06,14,"degree",0.04,0.96
"129",1,24,0.06,14,"mdmr",0.66,0.9
"130",1,24,0.08,14,"glm",0.552857142857143,0.953655913978495
"131",1,24,0.08,14,"degree",0.04,0.94
"132",1,24,0.08,14,"mdmr",1,0.9
"133",1,24,0.1,14,"glm",0.745714285714286,0.953655913978495
"134",1,24,0.1,14,"degree",0.12,0.94
"135",1,24,0.1,14,"mdmr",1,0.94
"136",1,24,0.15,14,"glm",0.98,0.953010752688172
"137",1,24,0.15,14,"degree",0.18,0.96
"138",1,24,0.15,14,"mdmr",1,0.92
"139",1,24,0.2,14,"glm",1,0.952903225806452
"140",1,24,0.2,14,"degree",0.42,0.94
"141",1,24,0.2,14,"mdmr",1,0.84
"142",1,24,0.3,14,"glm",1,0.954086021505376
"143",1,24,0.3,14,"degree",0.52,0.92
"144",1,24,0.3,14,"mdmr",1,0.92
"145",1,50,0.02,2,"glm",0.1,0.946464646464646
"146",1,50,0.02,2,"degree",0.04,0.96
"147",1,50,0.02,2,"mdmr",0.02,0.94
"148",1,50,0.04,2,"glm",0.35,0.946868686868687
"149",1,50,0.04,2,"degree",0.02,0.96
"150",1,50,0.04,2,"mdmr",0.14,1
"151",1,50,0.06,2,"glm",0.68,0.946464646464646
"152",1,50,0.06,2,"degree",0.06,1
"153",1,50,0.06,2,"mdmr",0.26,0.96
"154",1,50,0.08,2,"glm",0.84,0.946868686868687
"155",1,50,0.08,2,"degree",0.04,0.96
"156",1,50,0.08,2,"mdmr",0.44,0.94
"157",1,50,0.1,2,"glm",0.98,0.946565656565657
"158",1,50,0.1,2,"degree",0.06,0.96
"159",1,50,0.1,2,"mdmr",0.56,1
"160",1,50,0.15,2,"glm",1,0.946969696969697
"161",1,50,0.15,2,"degree",0.1,0.96
"162",1,50,0.15,2,"mdmr",0.96,1
"163",1,50,0.2,2,"glm",1,0.946767676767677
"164",1,50,0.2,2,"degree",0.24,1
"165",1,50,0.2,2,"mdmr",1,0.96
"166",1,50,0.3,2,"glm",1,0.946464646464646
"167",1,50,0.3,2,"degree",0.28,0.98
"168",1,50,0.3,2,"mdmr",1,0.96
"169",1,50,0.02,4,"glm",0.14,0.946836734693878
"170",1,50,0.02,4,"degree",0.06,0.96
"171",1,50,0.02,4,"mdmr",0.12,0.98
"172",1,50,0.04,4,"glm",0.405,0.947244897959184
"173",1,50,0.04,4,"degree",0.06,0.96
"174",1,50,0.04,4,"mdmr",0.3,0.96
"175",1,50,0.06,4,"glm",0.69,0.946530612244898
"176",1,50,0.06,4,"degree",0.1,0.96
"177",1,50,0.06,4,"mdmr",0.44,0.94
"178",1,50,0.08,4,"glm",0.875,0.946530612244898
"179",1,50,0.08,4,"degree",0.12,0.94
"180",1,50,0.08,4,"mdmr",0.76,0.94
"181",1,50,0.1,4,"glm",0.985,0.946938775510204
"182",1,50,0.1,4,"degree",0.06,0.96
"183",1,50,0.1,4,"mdmr",1,0.98
"184",1,50,0.15,4,"glm",1,0.946734693877551
"185",1,50,0.15,4,"degree",0.22,0.98
"186",1,50,0.15,4,"mdmr",1,1
"187",1,50,0.2,4,"glm",1,0.946836734693878
"188",1,50,0.2,4,"degree",0.44,1
"189",1,50,0.2,4,"mdmr",1,0.96
"190",1,50,0.3,4,"glm",1,0.946326530612245
"191",1,50,0.3,4,"degree",0.44,0.94
"192",1,50,0.3,4,"mdmr",1,0.96
"193",1,50,0.02,6,"glm",0.143333333333333,0.947010309278351
"194",1,50,0.02,6,"degree",0.04,0.96
"195",1,50,0.02,6,"mdmr",0.08,0.96
"196",1,50,0.04,6,"glm",0.363333333333333,0.94659793814433
"197",1,50,0.04,6,"degree",0.06,0.98
"198",1,50,0.04,6,"mdmr",0.3,0.98
"199",1,50,0.06,6,"glm",0.626666666666667,0.94659793814433
"200",1,50,0.06,6,"degree",0.08,0.96
"201",1,50,0.06,6,"mdmr",0.62,0.96
"202",1,50,0.08,6,"glm",0.856666666666667,0.947113402061856
"203",1,50,0.08,6,"degree",0.08,0.96
"204",1,50,0.08,6,"mdmr",0.94,0.96
"205",1,50,0.1,6,"glm",0.956666666666667,0.947216494845361
"206",1,50,0.1,6,"degree",0.08,0.96
"207",1,50,0.1,6,"mdmr",1,1
"208",1,50,0.15,6,"glm",1,0.946185567010309
"209",1,50,0.15,6,"degree",0.2,0.94
"210",1,50,0.15,6,"mdmr",1,0.96
"211",1,50,0.2,6,"glm",1,0.947010309278351
"212",1,50,0.2,6,"degree",0.36,0.94
"213",1,50,0.2,6,"mdmr",1,0.96
"214",1,50,0.3,6,"glm",1,0.946701030927835
"215",1,50,0.3,6,"degree",0.64,0.98
"216",1,50,0.3,6,"mdmr",1,0.96
"217",1,50,0.02,8,"glm",0.15,0.946979166666667
"218",1,50,0.02,8,"degree",0.06,1
"219",1,50,0.02,8,"mdmr",0.04,0.92
"220",1,50,0.04,8,"glm",0.365,0.9471875
"221",1,50,0.04,8,"degree",0.02,0.94
"222",1,50,0.04,8,"mdmr",0.42,0.98
"223",1,50,0.06,8,"glm",0.67,0.947083333333333
"224",1,50,0.06,8,"degree",0.08,1
"225",1,50,0.06,8,"mdmr",0.88,0.94
"226",1,50,0.08,8,"glm",0.8875,0.946770833333333
"227",1,50,0.08,8,"degree",0.22,0.98
"228",1,50,0.08,8,"mdmr",1,0.94
"229",1,50,0.1,8,"glm",0.9875,0.94625
"230",1,50,0.1,8,"degree",0.2,0.92
"231",1,50,0.1,8,"mdmr",1,0.96
"232",1,50,0.15,8,"glm",1,0.947083333333333
