"","iteration","subjects","effect.size","connections","method","sensitivity","specificity"
"105",1,24,0.06,8,"mdmr",0.18,0.98
"106",1,24,0.08,8,"glm",0.58,0.9515625
"107",1,24,0.08,8,"degree",0.36,0.94
"108",1,24,0.08,8,"mdmr",0.36,1
"109",1,24,0.1,8,"glm",0.7475,0.951145833333333
"110",1,24,0.1,8,"degree",0.58,1
"111",1,24,0.1,8,"mdmr",0.78,0.98
"112",1,24,0.15,8,"glm",0.975,0.9515625
"113",1,24,0.15,8,"degree",0.88,0.98
"114",1,24,0.15,8,"mdmr",1,1
"115",1,24,0.2,8,"glm",0.9975,0.951145833333333
"116",1,24,0.2,8,"degree",1,0.96
"117",1,24,0.2,8,"mdmr",1,0.98
"118",1,24,0.3,8,"glm",1,0.9509375
"119",1,24,0.3,8,"degree",1,0.94
"120",1,24,0.3,8,"mdmr",1,0.98
"121",1,24,0.02,10,"glm",0.092,0.952
"122",1,24,0.02,10,"degree",0,0.96
"123",1,24,0.02,10,"mdmr",0.04,0.98
"124",1,24,0.04,10,"glm",0.152,0.951157894736842
"125",1,24,0.04,10,"degree",0.14,0.96
"126",1,24,0.04,10,"mdmr",0.04,0.98
"127",1,24,0.06,10,"glm",0.328,0.951263157894737
"128",1,24,0.06,10,"degree",0.3,0.94
"129",1,24,0.06,10,"mdmr",0.26,1
"130",1,24,0.08,10,"glm",0.544,0.951368421052632
"131",1,24,0.08,10,"degree",0.56,0.96
"132",1,24,0.08,10,"mdmr",0.46,0.96
"133",1,24,0.1,10,"glm",0.784,0.951157894736842
"134",1,24,0.1,10,"degree",0.74,0.96
"135",1,24,0.1,10,"mdmr",0.82,0.96
"136",1,24,0.15,10,"glm",0.988,0.951263157894737
"137",1,24,0.15,10,"degree",1,0.96
"138",1,24,0.15,10,"mdmr",1,1
"139",1,24,0.2,10,"glm",0.998,0.951368421052632
"140",1,24,0.2,10,"degree",1,1
"141",1,24,0.2,10,"mdmr",1,1
"142",1,24,0.3,10,"glm",1,0.951894736842105
"143",1,24,0.3,10,"degree",1,0.96
"144",1,24,0.3,10,"mdmr",1,1
"145",1,24,0.02,14,"glm",0.0757142857142857,0.950430107526882
"146",1,24,0.02,14,"degree",0.1,0.96
"147",1,24,0.02,14,"mdmr",0.06,1
"148",1,24,0.04,14,"glm",0.18,0.951612903225806
"149",1,24,0.04,14,"degree",0.26,1
"150",1,24,0.04,14,"mdmr",0.12,1
"151",1,24,0.06,14,"glm",0.34,0.950967741935484
"152",1,24,0.06,14,"degree",0.6,0.94
"153",1,24,0.06,14,"mdmr",0.24,0.96
"154",1,24,0.08,14,"glm",0.545714285714286,0.951827956989247
"155",1,24,0.08,14,"degree",0.82,0.98
"156",1,24,0.08,14,"mdmr",0.54,0.96
"157",1,24,0.1,14,"glm",0.747142857142857,0.951612903225806
"158",1,24,0.1,14,"degree",1,0.96
"159",1,24,0.1,14,"mdmr",0.76,0.98
"160",1,24,0.15,14,"glm",0.99,0.950537634408602
