"(Intercept)" "mean_FD"
1 0.00332448521157533
1 -0.0834357463674247
1 -0.0366218489984247
1 1.00315023389758
1 -0.0973150439235247
1 0.148788565098575
1 -0.0458189446754247
1 0.113330139535575
1 -0.0120429958034247
1 -0.0808539025704247
1 0.0210197169785753
1 0.747705853068575
1 0.252731220738575
1 0.0715066031945753
1 -0.133060622870925
1 -0.0929730649874247
1 0.0129863251635753
1 -0.0246093589274247
1 -0.101553446805725
1 -0.0843479058964247
1 0.0421871049895753
1 -0.115665314230025
1 0.000814912285575314
1 -0.00839353619942468
1 -0.132282523320925
1 0.280023041830575
1 -0.0622088021084247
1 0.271600945618575
1 0.140422874873575
1 -0.0262376476834247
1 -0.0324353779464247
1 0.143793798369575
1 -0.0613879140824247
1 -0.103036475010925
1 0.230298161142575
1 -0.0466817057804247
1 -0.113466708087825
1 -0.0222600811644247
1 0.0101928772965753
1 0.0233318972965753
1 -0.140640013472425
1 -0.151442426549325
1 -0.126280781164725
1 -0.0956009673186247
1 -0.0142883373184247
1 -0.0145862465494247
1 -0.0641067319344247
1 -0.118450501630325
1 0.398589061527575
1 -0.104728062156625
1 -0.0338027377374247
1 0.126949596893575
1 0.0655498698605753
1 -0.0842766403014247
1 -0.108261715911425
1 -0.124498091472425
1 -0.110983774805725
1 -0.0340406468054247
1 -0.0725627574724247
1 -0.0843488837734247
1 -0.116088124374725
1 -0.102519395010925
1 -0.0465788574574247
1 -0.0209673364044247
1 -0.0371983496264247
1 -0.125072233169425
1 -0.0216696922604247
1 -0.0732797127144247
1 -0.0496490581694247
1 -0.0118620930174247
1 -0.0483610755934247
1 -0.132785054381525
1 -0.0810966271084247
1 -0.0226857415024247
1 -0.0358135392304247
1 -0.0977720801391247
1 -0.0853100308964247
